open_ticket_id,open_ticket_title,open_ticket_priority,open_ticket_sla_class,open_ticket_issue_type,match_rank,matched_ticket_id,matched_ticket_title,matched_issue_type,matched_completed_by,matched_resolution_hours,matched_priority,similarity_score
T20120604.0001,Alert: ABLE Manufacturing HQ Server Connectivity Failed,Critical,High,IT:Hardware,1,T20260113.0006,Server room temperature alert,IT:Applications,"Miller, Susan",184.5,Critical,0.2261
T20120604.0001,Alert: ABLE Manufacturing HQ Server Connectivity Failed,Critical,High,IT:Hardware,2,T20260226.0012,Server room temperature alert,IT:Change,"Taylor, Mark",103.5,Critical,0.2261
T20120604.0001,Alert: ABLE Manufacturing HQ Server Connectivity Failed,Critical,High,IT:Hardware,3,T20260302.0008,Server room temperature alert,IT:Hardware,"Anderson, Scott",166.5,Critical,0.2261
T20120604.0001,Alert: ABLE Manufacturing HQ Server Connectivity Failed,Critical,High,IT:Hardware,4,T20251224.0005,Server room temperature alert,IT:Applications,"Anderson, Scott",75.0,Critical,0.2261
T20120604.0001,Alert: ABLE Manufacturing HQ Server Connectivity Failed,Critical,High,IT:Hardware,5,T20260209.0010,Server room temperature alert,SW:Support,"Moore, James",169.0,Critical,0.2261
T20120604.0009,Request for Help,Medium,Service Request,Triage,1,T20260127.0013,File recovery request,IT:Change,"Anderson, Scott",188.5,Medium,0.1462
T20120604.0009,Request for Help,Medium,Service Request,Triage,2,T20251228.0007,File recovery request,IT:Applications,"Taylor, Mark",113.0,Medium,0.1462
T20120604.0009,Request for Help,Medium,Service Request,Triage,3,T20260127.0003,File recovery request,Triage,"Taylor, Mark",178.5,Medium,0.1462
T20120604.0009,Request for Help,Medium,Service Request,Triage,4,T20260107.0002,File recovery request,SW:Internal,"Miller, Susan",124.5,Medium,0.1462
T20120604.0009,Request for Help,Medium,Service Request,Triage,5,T20251219.0008,File recovery request,SW:Defect,"Anderson, Scott",116.0,Medium,0.1462
T20260226.0001,Request for Tony,Medium,Service Request,Triage,1,T20260127.0013,File recovery request,IT:Change,"Anderson, Scott",188.5,Medium,0.1462
T20260226.0001,Request for Tony,Medium,Service Request,Triage,2,T20251228.0007,File recovery request,IT:Applications,"Taylor, Mark",113.0,Medium,0.1462
T20260226.0001,Request for Tony,Medium,Service Request,Triage,3,T20260127.0003,File recovery request,Triage,"Taylor, Mark",178.5,Medium,0.1462
T20260226.0001,Request for Tony,Medium,Service Request,Triage,4,T20260107.0002,File recovery request,SW:Internal,"Miller, Susan",124.5,Medium,0.1462
T20260226.0001,Request for Tony,Medium,Service Request,Triage,5,T20251219.0008,File recovery request,SW:Defect,"Anderson, Scott",116.0,Medium,0.1462
T20260226.0002,Request for Tony2,Medium,Service Request,Triage,1,T20260127.0013,File recovery request,IT:Change,"Anderson, Scott",188.5,Medium,0.1462
T20260226.0002,Request for Tony2,Medium,Service Request,Triage,2,T20251228.0007,File recovery request,IT:Applications,"Taylor, Mark",113.0,Medium,0.1462
T20260226.0002,Request for Tony2,Medium,Service Request,Triage,3,T20260127.0003,File recovery request,Triage,"Taylor, Mark",178.5,Medium,0.1462
T20260226.0002,Request for Tony2,Medium,Service Request,Triage,4,T20260107.0002,File recovery request,SW:Internal,"Miller, Susan",124.5,Medium,0.1462
T20260226.0002,Request for Tony2,Medium,Service Request,Triage,5,T20251219.0008,File recovery request,SW:Defect,"Anderson, Scott",116.0,Medium,0.1462
T20251221.0001,Slow computer performance,Low,Low,SW:Defect,1,T20251221.0005,Slow computer performance,Triage,"Miller, Susan",219.0,Medium,1.0
T20251221.0001,Slow computer performance,Low,Low,SW:Defect,2,T20251216.0008,Slow computer performance,SW:Change,"Miller, Susan",158.5,Medium,1.0
T20251221.0001,Slow computer performance,Low,Low,SW:Defect,3,T20260114.0006,Slow computer performance,IT:Hardware,"Moore, James",173.0,Medium,1.0
T20251221.0001,Slow computer performance,Low,Low,SW:Defect,4,T20260224.0004,Slow computer performance,SW:Change,"Miller, Susan",127.0,Medium,1.0
T20251221.0001,Slow computer performance,Low,Low,SW:Defect,5,T20260117.0008,Slow computer performance,SW:Support,"Miller, Susan",186.0,Medium,1.0
T20260226.0003,Request for Tony2,Medium,Service Request,Triage,1,T20260127.0013,File recovery request,IT:Change,"Anderson, Scott",188.5,Medium,0.1462
T20260226.0003,Request for Tony2,Medium,Service Request,Triage,2,T20251228.0007,File recovery request,IT:Applications,"Taylor, Mark",113.0,Medium,0.1462
T20260226.0003,Request for Tony2,Medium,Service Request,Triage,3,T20260127.0003,File recovery request,Triage,"Taylor, Mark",178.5,Medium,0.1462
T20260226.0003,Request for Tony2,Medium,Service Request,Triage,4,T20260107.0002,File recovery request,SW:Internal,"Miller, Susan",124.5,Medium,0.1462
T20260226.0003,Request for Tony2,Medium,Service Request,Triage,5,T20251219.0008,File recovery request,SW:Defect,"Anderson, Scott",116.0,Medium,0.1462
T20260106.0001,MFA not working on mobile device,High,High,IT:Hardware,1,T20251211.0011,MFA not working on mobile device,SW:Change,"Miller, Susan",15.5,High,1.0
T20260106.0001,MFA not working on mobile device,High,High,IT:Hardware,2,T20260121.0005,MFA not working on mobile device,IT:Change,"Taylor, Mark",18.5,High,1.0
T20260106.0001,MFA not working on mobile device,High,High,IT:Hardware,3,T20260111.0004,MFA not working on mobile device,Triage,"Anderson, Scott",87.5,High,1.0
T20260106.0001,MFA not working on mobile device,High,High,IT:Hardware,4,T20260202.0005,MFA not working on mobile device,SW:Support,"Taylor, Mark",89.0,High,1.0
T20260106.0001,MFA not working on mobile device,High,High,IT:Hardware,5,T20260221.0009,MFA not working on mobile device,IT:Hardware,"Taylor, Mark",214.0,High,1.0
T20251219.0001,Password reset request,High,Service Request,SW:Change,1,T20251210.0013,Password reset request,IT:Hardware,"Taylor, Mark",190.5,Low,1.0
T20251219.0001,Password reset request,High,Service Request,SW:Change,2,T20260218.0008,Password reset request,SW:Change,"Moore, James",128.0,Low,1.0
T20251219.0001,Password reset request,High,Service Request,SW:Change,3,T20260226.0006,Password reset request,IT:Applications,"Miller, Susan",89.0,Low,1.0
T20251219.0001,Password reset request,High,Service Request,SW:Change,4,T20260215.0014,Password reset request,SW:Defect,"Miller, Susan",11.0,Low,1.0
T20251219.0001,Password reset request,High,Service Request,SW:Change,5,T20260223.0005,Password reset request,Triage,"Miller, Susan",29.0,Low,1.0
