technician,open_ticket_count,open_estimated_hours,critical_open_count,high_open_count,medium_open_count,low_open_count,high_sla_open_count,service_request_open_count,maintenance_open_count,workload_hours_score,workload_count_score
"Anderson, Scott",66,132.0,17,14,18,17,10,43,2,0.1548,0.1558
"Brown, Michael",1,2.0,0,1,0,0,0,1,0,0.9935,1.0
"Johnson, Allison",1,2.0,1,0,0,0,1,0,0,0.9935,1.0
"Miller, Susan",45,110.0,8,3,5,29,5,12,2,0.2968,0.4286
"Moore, James",71,145.0,15,18,23,15,14,38,4,0.071,0.0909
"Smith, Matthew",1,1.0,0,0,1,0,0,0,0,1.0,1.0
"Taylor, Mark",78,156.0,15,20,20,23,15,34,6,0.0,0.0
"Thomas, Kathy",1,1.0,0,1,0,0,1,0,0,1.0,1.0
"Williams, Steve",1,2.0,0,0,1,0,0,0,0,0.9935,1.0
"Wilson, Frank",3,9.0,0,0,3,0,0,0,0,0.9484,0.974
